time,sensorValue10
4578,305
4588,304
4598,304
4609,304
4619,303
4630,303
4640,302
4651,302
4661,301
4671,301
4681,300
4692,300
4703,299
4713,299
4723,298
4733,297
4744,297
4755,296
4765,295
4775,294
4786,294
4796,293
4806,292
4816,292
4828,291
4838,290
4848,290
4858,289
4869,288
4879,288
4890,287
4900,287
4911,286
4921,286
4931,285
4941,285
4952,284
4963,284
4973,284
4983,283
4994,283
5004,283
5014,283
5025,283
5036,283
5046,283
5056,283
5066,283
5076,283
5088,283
5098,284
5108,284
5118,284
5129,285
5139,285
5149,285
5160,286
5171,286
5181,287
5191,287
5201,288
5212,289
5223,289
5233,290
5243,291
5254,291
5264,292
5274,293
5284,293
5296,294
5306,295
5316,295
5326,296
5337,297
5347,297
5358,298
5368,299
5379,299
5389,300
5399,300
5409,301
5421,301
5431,302
5441,303
5451,303
5462,303
5472,304
5482,304
5493,304
5504,305
5514,305
5524,305
5534,305
5544,305
5556,305
5566,305
5576,305
5586,305
5597,305
5607,305
5617,305
5628,304
5639,304
5649,304
5659,304
5669,303
5680,303
5691,302
5701,302
5711,301
5722,301
5732,300
5742,300
5753,299
5764,299
5774,298
5784,297
5794,296
5805,296
5815,295
5826,294
5836,293
5847,293
5857,292
5867,291
5877,291
5889,290
5899,290
5909,289
5919,288
5929,287
5940,287
5950,286
5961,286
5971,285
5982,285
5992,285
6002,284
6012,284
6024,284
6034,283
6044,283
6054,283
6065,283
6075,283
6086,283
6096,283
6107,283
6117,283
6127,283
6137,283
6148,284
6159,284
6169,284
6179,285
6190,285
6200,286
6210,286
6221,287
6232,287
6242,288
6252,288
6262,289
6273,290
6283,290
6294,291
6304,291
6315,292
6325,293
6335,293
6345,294
6356,294
6367,295
6377,296
6387,297
6397,298
6408,298
6419,299
6429,299
6439,300
6450,301
6460,301
6470,302
6480,302
6492,303
6502,303
6512,304
6522,304
6533,304
6543,304
6554,305
6564,305
6575,305
6585,305
6595,305
6605,305
6616,305
6627,305
6637,305
6647,305
6658,305
6668,304
6678,304
6689,304
6700,304
6710,303
6720,303
6730,303
6740,302
6752,301
6762,301
6772,300
6782,300
6793,299
6803,299
6813,298
6824,297
6835,297
6845,296
6855,296
6865,295
6876,294
6887,293
6897,293
6907,292
6918,291
6928,291
6938,290
6948,289
6960,289
6970,288
6980,287
6990,287
7001,286
7011,285
7022,285
7032,284
7043,283
7053,283
7063,282
7073,282
7085,281
7095,281
7105,281
7115,281
7126,281
7136,281
7146,281
7157,282
7168,282
7178,282
7188,283
7198,283
7208,284
7220,284
7230,285
7240,285
7250,286
7261,286
7271,287
7281,287
7292,288
7303,288
7313,289
7323,290
7333,291
7344,291
7355,292
7365,293
7375,293
7386,294
7396,295
7406,295
7417,296
7428,297
7438,297
7448,298
7458,299
7469,299
7479,300
7490,301
7500,301
7511,302
7521,302
7531,303
7541,303
7553,304
7563,304
7573,304
7583,305
7593,305
7604,305
7614,305
7625,305
7635,305
7646,306
7656,306
7666,306
7676,306
7688,305
7698,305
7708,305
7718,305
7729,304
7739,304
7750,304
7760,304
7771,303
7781,303
7791,302
7801,302
7812,301
7823,301
7833,300
7843,299
7854,299
7864,298
7874,297
7885,297
7896,296
7906,295
7916,295
7926,294
7937,293
7947,292
7958,292
7968,291
7979,290
7989,290
7999,289
8009,288
8020,288
8031,287
8041,286
8051,286
8061,285
8072,284
8083,284
8093,283
8103,283
8114,282
8124,282
8134,282
8144,281
8156,281
8166,281
8176,281
8186,281
8197,281
8207,281
8218,281
8228,281
8239,281
8249,281
8259,281
8269,281
8280,282
8291,282
8301,282
8311,283
8322,283
8332,283
8342,284
8353,284
8364,285
8374,286
8384,286
8394,287
8404,288
8416,288
8426,289
8436,289
8446,290
8457,291
8467,291
8477,292
8488,293
8499,294
8509,294
8519,295
8529,295
8540,296
8551,297
8561,297
8571,298
8582,298
8592,298
8602,299
8612,299
8624,300
8634,300
8644,300
8654,301
8665,301
8675,301
8686,301
8696,301
8707,301
8717,301
8727,301
8737,301
8749,301
8759,300
8769,300
8779,300
8790,300
8800,299
8810,299
8821,299
8832,298
8842,298
8852,297
8862,297
8872,296
8884,296
8894,295
8904,294
8914,294
8925,293
8935,292
8945,292
8956,291
8967,290
8977,290
8987,289
8997,288
9008,287
9019,286
9029,286
9039,285
9050,285
9060,284
9070,284
9081,283
9092,282
9102,282
9112,281
9122,281
9133,280
9143,280
9154,280
9164,279
9175,279
9185,279
9195,279
9205,278
9217,278
9227,278
9237,278
9247,278
9257,278
9268,278
9278,279
9289,279
9299,279
9310,279
9320,280
9330,280
9340,281
9352,281
9362,282
9372,282
9382,283
9393,283
9403,284
9414,285
9424,285
9435,286
9445,287
9455,288
9465,288
9476,289
9487,290
9497,290
9507,291
9518,292
9528,292
9538,293
9549,294
9560,294
9570,295
9580,295
9590,296
9601,297
9611,297
9622,297
9632,298
9643,298
9653,299
9663,299
9673,299
9684,300
9695,300
9705,300
9715,300
9725,301
9736,301
9747,301
9757,301
9767,301
9778,301
9788,301
9798,301
9808,300
9820,300
9830,300
9840,299
9850,299
9861,298
9871,298
9882,298
9892,297
9903,297
9913,296
9923,295
9933,295
9944,294
9955,293
9965,293
9975,292
9986,291
9996,291
10006,290
10018,290
10030,290
10041,289
10052,288
10063,287
10075,286
10087,285
10098,284
10109,284
10121,283
10132,282
10143,282
10156,281
10167,281
10178,280
10189,280
10201,279
10213,279
10224,279
10235,279
10247,278
10258,278
10269,278
10281,278
10293,278
10304,278
10315,279
10327,279
10338,279
10350,279
10361,279
10373,280
10384,280
10395,281
10406,281
10419,281
10430,282
10441,283
10452,283
10464,284
10475,285
10487,286
10499,286
10510,287
10521,288
10532,289
10545,290
10556,290
10567,291
10578,292
10590,293
10601,293
10613,294
10625,295
10636,296
10647,296
10658,297
10670,297
10682,298
10693,298
10704,299
10716,299
10727,300
10738,300
10750,300
10762,300
10773,300
10784,301
10796,301
10807,301
10819,301
10830,301
10842,301
10853,300
10864,300
10875,300
10888,299
10899,299
10910,299
10921,298
10933,298
10945,297
10956,296
10968,296
10979,295
10990,295
11001,294
11014,293
11025,293
11036,292
11047,291
11059,290
11070,290
11082,289
11094,288
11105,287
11116,286
11127,286
11139,285
11151,284
11162,284
11173,283
11185,282
11196,282
11207,281
11219,281
11231,280
11242,279
11253,279
11265,279
11277,279
11288,278
11299,278
11311,278
11322,278
11333,278
11345,278
11357,278
11368,279
11379,279
11390,279
11402,279
11414,280
11425,280
11437,281
11448,281
11459,282
11470,282
11483,283
11494,283
11505,284
11516,285
11528,285
11539,286
11551,287
11563,288
11574,289
11585,289
11596,290
11608,291
11620,291
11631,293
11642,293
11654,294
11665,294
11677,295
11688,296
11700,296
11711,297
11722,298
11734,298
11746,299
11757,299
11768,300
11780,300
11791,300
11802,300
11814,300
11826,301
11837,301
11848,301
11859,301
11871,300
11883,300
11894,300
11906,300
11917,300
11928,300
11939,299
11952,299
11963,298
11974,298
11985,297
11997,297
12009,296
12020,295
12032,295
12043,294
12054,293
12065,293
12078,292
12089,291
12100,291
12111,290
12123,289
12134,288
12146,287
12157,287
12169,286
12180,285
12191,284
12203,284
12215,283
12226,282
12237,282
12249,281
12260,281
12271,280
12283,280
12295,279
12306,279
12317,279
12328,279
12340,278
12352,278
12363,278
12375,278
12386,278
12397,278
12409,278
12421,278
12432,279
12443,279
12454,279
12466,280
12478,280
12489,281
12500,281
12512,282
12523,282
12534,283
12547,284
12558,284
12569,285
12580,286
12592,287
12603,288
12615,288
12626,289
12638,290
12649,291
12660,291
12672,292
12684,293
12695,293
12706,294
12718,295
12729,295
12741,296
12752,297
12764,297
12775,298
12786,298
12797,299
12810,299
12821,300
12832,300
12844,300
12855,300
12866,300
12878,300
12890,300
12901,300
12912,300
12923,300
12935,300
12947,300
12958,300
12969,300
12981,299
12992,299
13003,299
13016,298
13027,298
13038,297
13049,297
13061,296
13072,295
13084,295
13095,294
13107,293
13118,293
13129,292
13142,291
13153,290
13164,289
13175,289
13187,288
13198,287
13210,286
13221,286
13233,285
13244,284
13255,283
13266,283
13279,282
13290,282
13301,281
13313,280
13324,280
13335,279
13347,279
13359,279
13370,279
13381,278
13392,278
13404,278
13416,278
13427,278
13438,278
13450,278
13461,279
13473,279
13485,279
13496,280
13507,280
13518,280
13530,281
13542,281
13553,282
13564,283
13576,283
13587,284
13598,284
13611,285
13622,286
13633,287
13644,288
13656,289
13667,289
13679,290
13690,291
13702,292
13713,293
13724,294
13735,294
13748,294
13759,295
13770,295
13782,296
13793,295
13804,295
13816,295
13828,295
13839,294
13850,294
13861,294
13874,294
13885,293
13896,294
13907,294
13919,294
13930,294
13942,294
13954,295
13965,295
13976,295
13987,295
13999,295
14011,295
14022,295
14033,295
14045,295
14056,295
14067,294
14080,294
14091,294
14102,294
14113,293
14125,293
14136,293
14148,292
14159,291
14171,291
14182,290
14193,289
14205,288
14217,287
14228,287
14239,286
14251,285
14262,285
14274,284
14285,283
14297,283
14308,282
14319,282
14330,281
14343,280
14354,280
14365,279
14376,279
14388,278
14399,278
14411,278
14423,277
14434,277
14445,277
14456,277
14468,277
14480,277
14491,277
14502,277
14514,277
14525,277
14536,277
14548,278
14560,278
14571,279
14582,279
14594,280
14606,281
14617,281
14628,282
14640,283
14651,283
14662,284
14674,285
14686,286
14697,286
14708,287
14720,288
14731,289
14743,289
14754,290
14766,291
14777,292
14788,292
14799,293
14812,294
14823,295
14834,295
14845,296
14857,296
14868,297
14880,297
14892,298
14903,298
14914,298
14925,299
14938,299
14949,299
14960,300
14971,299
14983,300
14994,300
15006,300
15017,300
15029,299
15040,299
15051,299
15063,299
15075,299
15086,298
15097,298
15109,297
15120,297
15131,296
15143,296
15155,295
15166,294
15177,293
15188,293
15200,292
15212,291
15223,291
15235,289
15246,289
15257,288
15268,287
15281,286
15292,286
15303,285
15314,284
15326,283
15338,283
15349,282
15361,281
15372,281
15383,280
15394,279
15407,279
15418,278
15429,278
15440,277
15452,277
15463,277
15475,276
15486,276
15498,276
15509,276
15520,276
15532,276
15544,276
15555,276
