time,sensorValue10
63,292
70,293
76,295
83,296
90,296
97,296
103,297
109,298
116,299
122,298
130,299
136,300
143,300
149,300
156,300
162,301
169,302
176,302
183,302
189,303
196,303
204,303
214,303
223,304
233,304
242,304
251,304
261,305
270,305
279,305
288,305
299,305
308,305
317,305
326,305
335,305
345,305
354,305
364,305
373,305
382,305
392,304
401,304
410,304
419,304
430,303
439,303
448,302
457,302
466,301
476,301
485,301
495,300
504,299
514,299
523,298
532,298
541,297
550,296
560,296
570,295
579,295
588,294
598,294
607,293
616,292
625,292
635,291
645,291
654,290
663,289
672,289
681,288
691,288
701,287
710,287
719,286
729,286
738,285
747,285
756,285
766,284
776,284
785,284
794,283
803,283
813,283
822,283
832,283
841,283
850,283
860,283
869,283
878,283
887,283
898,284
907,284
916,284
925,284
934,284
944,285
953,285
963,286
972,286
982,287
991,287
1000,288
1010,288
1020,288
1032,289
1042,289
1052,291
1062,291
1073,292
1083,293
1094,293
1104,294
1115,295
1125,295
1135,296
1145,297
1156,297
1167,298
1177,299
1187,299
1198,300
1208,301
1218,301
1229,302
1240,302
1250,302
1260,303
1270,303
1281,304
1291,304
1302,304
1312,305
1323,305
1333,305
1343,305
1353,305
1364,305
1375,305
1385,305
1395,305
1405,305
1416,305
1427,305
1437,305
1447,304
1458,304
1468,304
1478,304
1488,303
1500,303
1510,302
1520,302
1530,301
1541,301
1551,300
1562,299
1572,299
1583,298
1593,297
1603,297
1613,296
1624,295
1635,295
1645,294
1655,293
1666,292
1676,292
1686,291
1697,290
1708,290
1718,289
1728,288
1738,288
1748,287
1760,287
1770,286
1780,286
1790,285
1801,285
1811,284
1821,284
1832,284
1843,284
1853,284
1863,283
1873,283
1884,283
1895,283
1905,283
1915,283
1926,283
1936,283
1946,283
1956,284
1968,284
1978,284
1988,285
1998,285
2009,286
2019,286
2030,287
2040,287
2051,288
2061,288
2071,289
2081,289
2093,290
2103,291
2113,291
2123,292
2134,293
2144,294
2154,294
2165,295
2176,296
2186,296
2196,297
2206,298
2216,298
2228,299
2238,300
2248,300
2258,301
2269,301
2279,302
2289,302
2300,303
2311,303
2321,303
2331,304
2341,304
2352,305
2363,305
2373,305
2383,305
2394,305
2404,305
2414,305
2425,305
2436,305
2446,305
2456,305
2466,305
2477,305
2487,305
2498,304
2508,304
2519,304
2529,303
2539,303
2549,302
2561,302
2571,301
2581,301
2591,300
2601,300
2612,299
2623,298
2633,298
2643,297
2654,296
2664,296
2674,295
2684,294
2696,294
2706,293
2716,292
2726,292
2737,291
2747,290
2758,289
2768,289
2779,288
2789,288
2799,287
2809,287
2820,286
2831,286
2841,285
2851,285
2862,284
2872,284
2882,284
2893,283
2904,283
2914,283
2924,283
2934,283
2945,283
2955,283
2966,283
2976,283
2987,283
2997,284
3007,284
3017,284
3028,284
3039,285
3049,285
3059,285
3069,286
3080,287
3091,287
3101,288
3111,288
3122,289
3132,289
3142,290
3152,291
3164,291
3174,292
3184,293
3194,294
3205,294
3215,295
3226,296
3236,296
3247,297
3257,298
3267,298
3277,299
3288,300
3299,300
3309,301
3319,301
3330,302
3340,302
3350,303
3361,303
3372,304
3382,304
3392,304
3402,304
3412,305
3424,305
3434,305
3444,305
3454,305
3465,305
3475,305
3485,305
3496,305
3507,305
3517,305
3527,305
3537,304
3548,304
3559,304
3569,303
3579,303
3590,302
3600,302
3610,302
3620,301
3632,301
3642,300
3652,299
3662,299
3673,298
3683,297
3694,297
3704,296
3715,295
3725,295
3735,294
3745,293
3757,293
3767,292
3777,291
3787,291
3798,290
3808,289
3818,289
3829,288
3840,287
3850,287
3860,286
3870,286
3880,286
3892,285
3902,285
3912,284
3922,284
3933,283
3943,283
3953,283
3964,283
3975,283
3985,283
3995,283
4005,283
4016,283
4027,283
4037,283
4047,283
4058,284
4068,284
4078,284
4089,285
4100,285
4110,286
4120,286
4130,287
4141,287
4151,288
4162,289
4172,289
4183,290
4193,290
4203,291
4213,292
4225,292
4235,293
4245,294
4255,294
4265,295
4276,296
4286,297
4297,297
4307,298
4318,298
4328,299
4338,300
4348,300
4360,301
4370,301
4380,302
4390,302
4401,303
4411,303
4422,304
4432,304
4443,304
4453,304
4463,305
4473,305
4484,305
4495,305
4505,305
4515,305
4526,305
4536,305
4546,305
4557,305
4568,305
