time500,inPin500
1,488
2,489
3,479
4,492
5,482
6,495
7,483
8,496
9,484
10,497
11,485
12,498
13,485
14,498
15,486
16,498
17,486
18,498
19,486
20,499
21,486
22,499
23,486
24,499
25,486
26,499
27,486
28,499
29,486
30,499
31,487
32,499
33,487
34,499
35,487
36,499
37,486
38,499
39,487
40,499
41,486
42,499
43,488
44,499
45,487
46,498
47,487
48,498
49,487
50,499
51,487
52,499
53,487
54,499
55,486
56,499
57,487
58,499
59,486
60,499
61,487
62,499
63,486
64,499
65,486
66,499
67,487
68,499
69,487
70,499
71,487
72,499
73,487
74,499
75,486
76,499
77,486
78,499
79,486
80,499
81,486
82,499
83,487
84,499
85,487
86,498
87,487
88,498
89,487
90,498
91,487
92,499
93,486
94,499
95,487
96,499
97,487
98,499
99,486
100,499
101,488
102,499
103,487
104,499
105,487
106,499
107,487
108,499
109,487
110,499
111,488
112,499
113,488
114,499
115,487
116,499
117,487
118,499
119,487
120,499
121,487
122,499
123,487
124,499
125,487
126,499
127,487
128,497
129,487
130,498
131,487
132,498
133,488
134,499
135,488
136,499
137,488
138,499
139,487
140,499
141,487
142,499
143,487
144,499
145,487
146,499
147,488
148,499
149,487
150,499
151,487
152,499
153,488
154,499
155,488
156,499
157,488
158,499
159,488
160,499
161,487
162,499
163,487
164,499
165,487
166,499
167,487
168,499
169,487
170,499
171,488
172,498
173,488
174,498
175,487
176,498
177,486
178,498
179,486
180,498
181,486
182,498
183,487
184,498
185,487
186,498
187,487
188,498
189,487
190,498
191,487
192,498
193,487
194,498
195,487
196,498
197,486
198,498
199,487
200,498
201,487
202,498
203,487
204,498
205,487
206,498
207,487
208,499
209,487
210,499
211,487
212,498
213,487
214,498
215,488
216,498
217,488
218,498
219,488
220,499
221,487
222,499
223,487
224,499
225,488
226,499
227,487
228,499
229,487
230,499
231,488

