Record Length,2500,Points,-1.5600001E-3,0.0,,Record Length,2500,Points,-1.5600001E-3,79.999998212E-3,
Sample Interval,1.000000E-6,s,-1.5590001E-3,0.0,,Sample Interval,1.000000E-6,s,-1.5590001E-3,79.999998212E-3,
Trigger Point,1.5600002E3,Samples,-1.5580001E-3,19.9999996E-3,,Trigger Point,1.5600002E3,Samples,-1.5580001E-3,79.999998212E-3,
,,,-1.5570001E-3,0.0,,,,,-1.5570001E-3,79.999998212E-3,
,,,-1.5560001E-3,0.0,,,,,-1.5560001E-3,79.999998212E-3,
,,,-1.5550001E-3,0.0,,,,,-1.5550001E-3,79.999998212E-3,
Source,CH1,,-1.5540001E-3,0.0,,Source,CH2,,-1.5540001E-3,79.999998212E-3,
Vertical Units,Volts,,-1.5530001E-3,0.0,,Vertical Units,Volts,,-1.5530001E-3,79.999998212E-3,
Vertical Scale,499.999988824E-3,,-1.5520002E-3,19.9999996E-3,,Vertical Scale,2.0000000,,-1.5520002E-3,79.999998212E-3,
Vertical Offset,0,,-1.5510002E-3,0.0,,Vertical Offset,0,,-1.5510002E-3,79.999998212E-3,
Horizontal Units,s,,-1.5500002E-3,19.9999996E-3,,Horizontal Units,s,,-1.5500002E-3,79.999998212E-3,
Horizontal Scale,249.99999937E-6,,-1.5490002E-3,0.0,,Horizontal Scale,249.99999937E-6,,-1.5490002E-3,79.999998212E-3,
Pt Fmt,Y,,-1.5480001E-3,0.0,,Pt Fmt,Y,,-1.5480001E-3,79.999998212E-3,
Yzero,-1.3200000,,-1.5470001E-3,0.0,,Yzero,880.000000000E-3,,-1.5470001E-3,79.999998212E-3,
Probe Atten,1.000000,,-1.5460001E-3,0.0,,Probe Atten,1.000000,,-1.5460001E-3,79.999998212E-3,
,,,-1.5450001E-3,19.9999996E-3,,,,,-1.5450001E-3,79.999998212E-3,
