Time,potValue,sensorValue
87387,0,489
87588,0,489
87790,0,488
87992,0,488
88194,0,488
88395,0,488
88597,0,488
88799,0,488
89000,0,488
89202,0,488
89404,0,488
89606,0,488
89807,0,488
90009,0,487
90211,0,487
90413,0,487
90614,0,487
90816,0,487
91018,0,487
91219,0,487
91421,0,487
91623,0,487
91825,0,487
92026,0,487
92228,0,487
92430,0,487
92632,0,486
92833,0,486
93035,0,486
93237,0,486
93438,0,486
93640,0,486
93842,0,486
94044,0,486
94245,0,486
94447,0,486
94649,0,486
94851,0,486
95052,0,486
95254,0,486
95456,0,486
95657,0,485
95859,0,485
96061,0,485
96263,0,485
96464,0,485
96666,0,485
96868,0,485
97070,0,485
97271,0,485
97473,0,485
97675,0,485
97876,0,485
98078,0,485
98280,0,485
98482,0,485
98683,0,485
98885,0,485
99087,0,484
99289,0,484
99490,0,484
99692,0,485
