time,potValue,sensorValue
89206,1023,499
89409,1023,499
89611,1023,499
89812,1023,500
90014,1023,500
90216,1023,500
90418,1023,500
90619,1023,500
90822,1023,500
91024,1023,500
91226,1023,501
91427,1023,501
91629,1023,501
91831,1023,501
92033,1023,501
92235,1023,501
92437,1023,501
92639,1023,501
92840,1023,501
93042,1023,501
93244,1023,502
93446,1023,502
93648,1023,502
93850,1023,502
94052,1023,502
94254,1023,502
94455,1023,502
94657,1023,502
94859,1023,502
95062,1023,502
95263,1023,503
95465,1023,502
95667,1023,502
95868,1023,503
96070,1023,503
96272,1023,503
96475,1023,502
96676,1023,503
96878,1023,503
97080,1023,503
97282,1023,503
97483,1023,503
97685,1023,503
97888,1023,503
98089,1023,503
98291,1023,503
98493,1023,503
98695,1023,504
98896,1023,503
99098,1023,504
99301,1023,504
99503,1023,504
99704,1023,504
99906,1023,504
100108,1023,504
100310,1023,504
100512,1023,504
100714,1023,504
100916,1023,504
101117,1023,504
101319,1023,504
101521,1023,504
101724,1023,504
101925,1023,505
102127,1023,504
102329,1023,505
102531,1023,505
102733,1023,505
102935,1023,505
103137,1023,505
103339,1023,505
103540,1023,505
103743,1023,505
103945,1023,505
104146,1023,505
104348,1023,505
104550,1023,505
104752,1023,505
104954,1023,505
105156,1023,505
105358,1023,505
105560,1023,505
105761,1023,505
105964,1023,505
106166,1023,505
106368,1023,505
106569,1023,505
106771,1023,506
106973,1023,506
107175,1023,506
107377,1023,506
107579,1023,506
107781,1023,506
107982,1023,506
108185,1023,506
108387,1023,506
108589,1023,506
108790,1023,506
108992,1023,506
109195,1023,506
109396,1023,506
109598,1023,506
109800,1023,506
110002,1023,506
110203,1023,506
110406,1023,506
110608,1023,506
110810,1023,506
111011,1023,506
111213,1023,506
111416,1023,506
111618,1023,506
111819,1023,506
112021,1023,506
112223,1023,506
112425,1023,506
112627,1023,506
112829,1023,507
113031,1023,507
113232,1023,506
113434,1023,507
113637,1023,507
113839,1023,507
114040,1023,506
114242,1023,506
114444,1023,507
114647,1023,507
114848,1023,507
115050,1023,506
115252,1023,506
115453,1023,506
115656,1023,506
115858,1023,506
116060,1023,506
116261,1023,507
116463,1023,506
116665,1023,506
116868,1023,506
117069,1023,506
117271,1023,507
117473,1023,506
117675,1023,506
117877,1023,507
118079,1023,506
118281,1023,506
118482,1023,506
118684,1023,506
118887,1023,506
119089,1023,506
119290,1023,506
119492,1023,506
119694,1023,506
119896,1023,507
120098,1023,506
120300,1023,506
120502,1023,506
120704,1023,506
120905,1023,507
121108,1023,507
121310,1023,506
121511,1023,507
121713,1023,506
121915,1023,507
122118,1023,507
122319,1023,507
122521,1023,507
122723,1023,507
122925,1023,507
123126,1023,507
123329,1023,507
123531,1023,507
123732,1023,507
123934,1023,507
124136,1023,507
124339,1023,507
124540,1023,507
124742,1023,507
124944,1023,507
125146,1023,507
125348,1023,507
125550,1023,507
125752,1023,507
125954,1023,507
126155,1023,507
126357,1023,507
126560,1023,507
126761,1023,508
126963,1023,507
127165,1023,507
127367,1023,508
127569,1023,507
127771,1023,507
127973,1023,507
128175,1023,508
128376,1023,508
128579,1023,508
128781,1023,507
128983,1023,508
129184,1023,508
129386,1023,508
129588,1023,508
129790,1023,508
129992,1023,508
130194,1023,508
130396,1023,508
130597,1023,508
130800,1023,508
131002,1023,508
131204,1023,508
131405,1023,508
131607,1023,508
131809,1023,508
132012,1023,508
132213,1023,508
132415,1023,508
132617,1023,508
132818,1023,508
133021,1023,508
133223,1023,508
133425,1023,508
133626,1023,508
133828,1023,508
134031,1023,508
134233,1023,508
134434,1023,508
134636,1023,508
134838,1023,508
135041,1023,508
135242,1023,508
135444,1023,508
135646,1023,508
135847,1023,508
136049,1007,508
136252,891,508
136454,740,508
136655,633,508
136857,573,508
137059,519,508
137261,503,508
137462,503,508
137665,503,508
137867,503,508
138068,504,508
138270,503,508
138472,504,508
138674,504,508
138875,504,508
139078,504,507
139280,503,507
139482,504,507
139683,503,507
139885,503,507
140087,503,507
140289,503,507
140491,503,507
140693,503,506
