time,sensorValue1
30,279
37,281
44,283
51,284
57,284
63,285
70,285
76,286
83,287
90,287
97,287
103,288
109,289
116,289
122,289
130,290
136,291
143,291
149,290
156,291
162,293
169,292
176,292
183,293
189,294
197,294
206,293
216,295
225,295
235,294
244,295
253,295
263,295
272,295
281,295
290,295
301,295
310,295
319,295
328,295
337,295
347,295
356,295
366,294
375,294
385,294
394,294
403,293
412,293
421,293
432,292
441,292
450,291
459,291
468,290
478,289
487,289
497,288
506,288
516,287
525,286
534,286
543,285
552,284
563,284
572,283
581,283
590,282
600,281
609,280
618,280
628,279
637,279
647,278
656,277
665,277
674,276
684,276
693,275
703,275
712,274
721,274
731,273
740,273
749,273
758,273
769,272
778,272
787,272
796,272
805,272
815,272
824,272
834,272
843,272
852,272
862,272
871,272
880,272
889,273
900,273
909,273
918,274
927,274
936,274
946,275
955,276
965,276
974,276
984,277
993,278
1002,278
1012,278
1022,279
1034,280
1044,280
1054,283
1064,285
1075,286
1085,286
1096,286
1106,285
1117,284
1127,284
1137,285
1147,287
1158,289
1169,291
1179,293
1189,293
1200,293
1210,292
1220,291
1231,291
1242,291
1252,292
1262,294
1272,296
1283,297
1294,297
1304,297
1314,295
1325,294
1335,293
1345,293
1355,294
1367,295
1377,296
1387,297
1397,297
1408,296
1418,295
1429,293
1439,291
1449,291
1460,291
1470,292
1480,293
1490,294
1502,293
1512,292
1522,290
1532,288
1543,286
1553,285
1564,285
1574,285
1585,286
1595,287
1605,287
1615,286
1627,284
1637,282
1647,280
1657,278
1668,278
1678,278
1688,278
1699,279
1710,279
1720,278
1730,277
1740,275
1751,274
1762,273
1772,272
1782,272
1793,273
1803,273
1813,274
1823,274
1835,273
1845,272
1855,271
1865,271
1875,270
1886,271
1897,272
1907,273
1917,274
1928,274
1938,274
1948,273
1959,273
1970,272
1980,272
1990,273
2000,275
2011,277
2021,278
2032,279
2042,280
2053,279
2063,278
2073,278
2083,278
2095,279
2105,281
2115,283
2125,285
2136,287
2146,287
2156,287
2167,286
2178,285
2188,285
2198,286
2208,288
2219,289
2230,292
2240,293
2250,293
2260,293
2271,292
2281,291
2292,291
2302,291
2313,293
2323,294
2333,296
2343,297
2354,297
2365,297
2375,296
2385,294
2396,293
2406,293
2416,294
2427,295
2438,296
2448,297
2458,297
2468,296
2479,294
2489,292
2500,291
2510,290
2521,290
2531,291
2541,292
2551,293
2563,292
2573,291
2583,289
2593,287
2604,285
2614,284
2625,284
2635,284
2646,285
2656,286
2666,285
2676,284
2686,283
2698,281
2708,279
2718,277
2728,277
2739,277
2749,277
2760,278
2770,278
2781,277
