time100,inPin100
1,357
2,293
3,236
4,191
5,154
6,125
7,101
8,241
9,379
10,493
11,586
12,664
13,726
14,779
15,821
16,856
17,884
18,908
19,927
20,870
21,712
22,579
23,471
24,381
25,310
26,251
27,204
28,165
29,135
30,110
31,89
32,73
33,223
34,362
35,479
36,575
37,654
38,719
39,772
40,816
41,852
42,881
43,905
44,925
45,862
46,703
47,572
48,465
49,378
50,306
51,248
52,201
53,164
54,133
55,108
56,88
57,72
58,229
59,367
60,484
61,578
62,657
63,721
64,774
65,818
66,853
67,882
68,906
69,926
70,854
71,699
72,568
73,462
74,374
75,304
76,246
77,200
78,162
79,132
80,107
81,88
82,72
83,235
84,372
85,488
86,582
87,660
88,724
89,776
90,819
91,855
92,883
93,907
94,927
95,848
96,692
97,564
98,457
99,371
100,300
101,244
102,198
103,161
104,131
105,107
106,87
107,67
108,241
109,378
110,492
111,586
112,663
113,726
114,778
115,821
116,856
117,885
118,908
119,928
120,842
121,686
122,558
123,453
124,367
125,299
126,242
127,197
128,160
129,130
130,106
131,86
132,66
133,247
134,382
135,496
136,589
137,666
138,728
139,780
140,822
141,857
142,885
143,909
144,928
145,834
146,681
147,555
148,450
149,365
150,296
151,240
152,195
153,159
154,129
155,105
156,86
157,86
158,252
159,388
160,500
161,592
162,668
163,730
164,782
165,824
166,858
167,887
168,910
169,929
170,827
171,674
172,549
173,446
174,362
175,293
176,238
177,193
178,157
179,128
180,104
181,85
182,94
183,258
184,393
185,504
186,596
187,671
188,733
189,784
190,826
191,860
192,888
193,910
194,930
195,820
196,669
197,545
198,442
199,359
200,291
201,237
202,191
203,156
204,127
205,103
206,84
207,102
208,265
209,398
210,508
211,599
212,674
213,735
214,785
215,827
216,861
217,889
218,911
219,930
220,815
221,664
222,540
223,438
224,355
225,288
226,234
227,190
228,154
229,126
230,103
231,84
232,110
233,271
234,403
235,512
236,602
237,676
238,737
239,787
240,828
241,862
242,889
243,912
244,931
245,808
246,658
247,535
248,435
249,353
250,286
251,232
252,189
253,153
254,125
255,102
256,83
257,117
258,276
259,408
260,516
261,606
262,679
263,739
264,789
265,830
266,863
267,890
268,913
269,932
270,802
271,654
272,532
273,432
274,350
275,284
276,231
277,187
278,152
