time,sensorValue50
379,218
389,218
398,218
407,218
417,218
427,218
436,218
445,218
454,218
463,218
473,218
483,218
492,218
501,218
510,218
520,218
529,219
538,219
548,218
558,218
567,219
576,218
585,218
594,218
604,218
614,219
623,219
632,218
642,218
651,218
660,218
669,218
678,218
689,218
698,218
707,218
716,218
726,218
735,218
744,218
754,218
763,218
773,218
782,218
791,218
800,218
809,218
820,218
829,218
838,218
847,218
857,218
866,218
875,218
885,218
894,218
904,218
913,218
922,218
931,218
941,217
951,217
960,217
969,217
978,218
988,218
997,218
1006,217
1017,217
1028,218
1038,218
1048,218
1058,218
1069,218
1080,218
1090,218
1100,217
1111,217
1121,218
1131,218
1141,218
1153,218
1163,218
1173,218
1183,218
1193,218
1204,218
1215,218
1225,218
1235,218
1246,218
1256,218
1266,218
1276,218
1288,218
1298,218
1308,218
1318,218
1329,218
1339,218
1350,218
1360,218
1371,219
1381,219
1391,219
1401,219
1413,219
1423,219
1433,219
1443,219
1454,219
1464,219
1474,219
1485,219
1496,219
1506,219
1516,219
1526,219
1537,219
1548,219
1558,219
1568,219
1579,219
1589,219
1599,219
1609,219
1620,219
1631,219
1641,219
1651,219
1661,219
1672,219
1683,219
1693,219
1703,219
1714,219
1724,219
1734,219
1745,219
1756,219
1766,219
1776,218
1786,219
1797,219
1807,218
1818,218
1828,218
1839,219
1849,218
1859,218
1869,218
1881,218
1891,218
1901,218
1911,218
1922,218
1932,218
1942,218
1953,218
1964,218
1974,218
1984,218
1994,218
2004,218
2016,218
2026,218
2036,218
2046,218
2057,218
2067,218
2078,218
2088,218
2099,218
2109,218
2119,218
2129,218
2140,218
2151,218
2161,218
2171,218
2182,218
2192,218
2202,218
2213,218
2224,218
2234,218
2244,218
2254,218
2265,218
2275,218
2286,218
2296,218
2307,218
2317,218
2327,218
2337,218
2349,218
2359,218
2369,218
2379,219
2390,219
2400,218
2411,219
2421,219
2432,219
2442,219
2452,219
2462,219
2472,219
2484,219
2494,219
2504,219
2514,219
2525,219
2535,219
2546,219
2556,219
2567,219
2577,219
2587,219
2597,219
2608,219
2619,219
2629,219
2639,219
2650,219
2660,219
2670,219
2681,219
2692,219
2702,219
2712,219
2722,219
2733,219
2744,219
2754,219
2764,219
2775,219
2785,219
2795,219
2805,219
2817,219
2827,219
2837,219
2847,219
2857,218
2868,218
2879,219
2889,219
2899,218
2910,218
2920,218
2930,218
2940,218
2952,218
2962,218
2972,218
2982,218
2993,218
3003,218
3014,218
3024,218
3035,218
3045,218
3055,218
3065,218
3077,218
3087,218
3097,218
3107,218
3118,218
3128,218
3138,218
3149,217
3160,217
3170,218
3180,218
3190,218
3201,218
3212,218
3222,218
3232,218
3243,218
3253,218
3263,218
3273,218
3284,218
3295,218
3305,218
3315,218
3325,218
3336,218
3347,218
3357,218
3367,218
3378,218
3388,218
3398,218
3409,218
3420,218
3430,219
3440,218
3450,218
3461,219
3471,219
3482,219
3492,219
3503,219
3513,219
3523,219
3533,219
3545,219
3555,219
3565,219
3575,219
