time,sensorValue50
3586,219
3596,219
3606,219
3617,219
3628,219
3638,219
3648,219
3658,219
3668,219
3680,219
3690,219
3700,219
3710,219
3721,219
3731,219
3742,219
3752,219
3763,219
3773,219
3783,219
3793,219
3804,219
3815,219
3825,219
3835,219
3846,219
3856,219
3866,219
3877,219
3888,219
3898,219
3908,218
3918,218
3929,219
3939,218
3950,218
3960,218
3971,218
3981,218
3991,218
4001,218
4013,218
4023,218
4033,218
4043,218
4054,218
4064,218
4075,218
4085,218
4096,218
4106,218
4116,218
4126,218
4136,218
4148,218
4158,218
4168,218
4178,218
4189,218
4199,218
4210,218
4220,218
4231,218
4241,218
4251,218
4261,218
4272,218
4283,218
4293,218
4303,218
4314,218
4324,218
4334,218
4345,218
4356,218
4366,218
4376,218
4386,218
4397,218
4408,218
4418,218
4428,218
4439,218
4449,218
4459,218
4469,219
4481,219
4491,219
4501,219
4511,219
4521,219
4532,219
4543,219
4553,219
4563,219
4574,219
4584,219
4594,219
4604,219
4616,219
4626,219
4636,219
4646,219
4657,219
4667,219
4678,219
4688,219
4699,219
4709,219
4719,219
4729,219
4741,219
4751,219
4761,219
4771,219
4782,219
4792,219
4802,219
4813,219
4824,219
4834,219
4844,219
4854,219
4865,219
4876,219
4886,219
4896,219
4907,219
4917,219
4927,219
4937,219
4948,219
4959,218
4969,218
4979,219
4989,219
5000,218
5011,218
5021,219
5031,218
5042,218
5052,218
5062,218
5073,218
5084,218
5094,218
5104,218
5114,218
5125,218
5135,218
5146,218
5156,218
5167,218
5177,218
5187,218
5197,218
5209,218
5219,218
5229,218
5239,218
5250,218
5260,218
5270,218
5281,218
5292,218
5302,218
5312,218
5322,218
5332,218
5344,218
5354,218
5364,218
5374,218
5385,218
5395,218
5406,218
5416,218
5427,218
5437,218
5447,218
5457,218
5468,218
5479,218
5489,218
5499,218
5510,218
5520,219
5530,219
5541,219
5552,219
5562,219
5572,219
5582,219
5593,219
5603,219
5614,219
5624,219
5635,219
5645,219
5655,219
5665,219
5677,219
5687,219
5697,219
5707,219
5718,219
5728,219
5739,219
5749,219
5760,219
5770,219
5780,219
5790,219
5800,219
5812,219
5822,219
5832,219
5842,219
5853,219
5863,219
5874,219
5884,219
5895,219
5905,219
5915,219
5925,219
5936,219
5947,219
5957,219
5967,219
5978,219
5988,219
5998,219
6009,219
6020,219
6030,219
6040,219
6050,218
6061,218
6072,219
6082,218
6092,218
6103,218
6113,218
6123,218
6133,218
6145,218
6155,218
6165,218
6175,218
6185,218
6196,218
6207,218
6217,218
6227,218
6238,218
6248,218
6258,218
6268,218
6280,218
6290,218
6300,218
6310,218
6321,218
6331,218
6342,218
6352,218
6363,218
6373,218
6383,218
6393,218
6405,218
6415,218
6425,218
6435,218
6446,218
6456,218
6466,218
6477,218
6488,218
6498,218
6508,218
6518,218
6529,218
6540,218
6550,218
6560,218
6571,218
6581,219
6591,218
6601,218
6612,219
6623,219
6633,219
6643,219
6653,219
6664,219
6675,219
6685,219
6695,219
6706,219
6716,219
6726,219
6737,219
6748,219
6758,219
6768,219
6778,219
6789,219
6799,219
6810,219
6820,219
6831,219
6841,219
6851,219
6861,219
6873,219
6883,219
6893,219
6903,219
6914,219
6924,219
6934,219
6945,219
6956,219
6966,219
6976,218
6986,219
6996,219
7008,218
7018,218
7028,218
7038,219
7049,218
7059,218
7070,218
7080,218
7091,218
7101,218
7111,218
7121,218
7132,218
7143,218
7153,218
7163,218
7174,218
7184,218
7194,218
7205,218
7216,218
7226,217
7236,218
7246,218
7257,218
7267,217
7278,217
7288,217
7299,217
7309,217
7319,217
7329,218
7341,217
7351,217
7361,217
7371,218
7382,217
7392,217
7403,217
7413,218
